1.00E+08,8.01E+01,1.25E+00
1.26E+08,7.39E+01,1.13E+00
1.58E+08,6.90E+01,1.00E+00
2.00E+08,6.51E+01,8.83E-01
2.51E+08,6.20E+01,7.71E-01
3.16E+08,5.95E+01,6.69E-01
3.98E+08,5.75E+01,5.79E-01
5.01E+08,5.58E+01,5.01E-01
6.31E+08,5.44E+01,4.35E-01
7.94E+08,5.33E+01,3.81E-01
1.00E+09,5.23E+01,3.39E-01
1.26E+09,5.14E+01,3.07E-01
1.58E+09,5.05E+01,2.85E-01
2.00E+09,4.97E+01,2.73E-01
2.51E+09,4.88E+01,2.71E-01
3.16E+09,4.78E+01,2.79E-01
3.98E+09,4.66E+01,2.98E-01
5.01E+09,4.51E+01,3.27E-01
6.31E+09,4.33E+01,3.67E-01
7.94E+09,4.10E+01,4.20E-01
1.00E+10,3.81E+01,4.86E-01
