1.00E+08,8.89E+01,4.27E+00
1.26E+08,8.44E+01,3.62E+00
1.58E+08,8.02E+01,3.06E+00
2.00E+08,7.69E+01,2.57E+00
2.51E+08,7.42E+01,2.13E+00
3.16E+08,7.24E+01,1.75E+00
3.98E+08,7.10E+01,1.43E+00
5.01E+08,7.01E+01,1.17E+00
6.31E+08,6.94E+01,9.51E-01
7.94E+08,6.89E+01,7.79E-01
1.00E+09,6.84E+01,6.45E-01
1.26E+09,6.80E+01,5.42E-01
1.58E+09,6.75E+01,4.66E-01
2.00E+09,6.69E+01,4.13E-01
2.51E+09,6.62E+01,3.80E-01
3.16E+09,6.51E+01,3.65E-01
3.98E+09,6.38E+01,3.66E-01
5.01E+09,6.19E+01,3.83E-01
6.31E+09,5.95E+01,4.15E-01
7.94E+09,5.64E+01,4.63E-01
1.00E+10,5.24E+01,5.27E-01
