1.00E+08,7.29E+01,1.21E+00
1.26E+08,6.59E+01,1.13E+00
1.58E+08,6.03E+01,1.04E+00
2.00E+08,5.58E+01,9.40E-01
2.51E+08,5.21E+01,8.44E-01
3.16E+08,4.92E+01,7.50E-01
3.98E+08,4.68E+01,6.63E-01
5.01E+08,4.49E+01,5.82E-01
6.31E+08,4.33E+01,5.10E-01
7.94E+08,4.20E+01,4.48E-01
1.00E+09,4.09E+01,3.95E-01
1.26E+09,4.00E+01,3.52E-01
1.58E+09,3.93E+01,3.19E-01
2.00E+09,3.86E+01,2.95E-01
2.51E+09,3.79E+01,2.82E-01
3.16E+09,3.73E+01,2.79E-01
3.98E+09,3.66E+01,2.87E-01
5.01E+09,3.58E+01,3.08E-01
6.31E+09,3.47E+01,3.42E-01
7.94E+09,3.32E+01,3.93E-01
1.00E+10,3.13E+01,4.60E-01
